crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/478513,478513,1,시작의바다,축구 천재인 거 나만 모름,스포츠,"14,485",14485,0,0,77.87%,77.87
2,https://novel.munpia.com/475581,475581,2,페르세르크,방구석 경제학자,현대판타지,"9,177",9177,0,0,62.48%,62.48
3,https://novel.munpia.com/476222,476222,3,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","7,044",7044,1,1,62.59%,62.59
4,https://novel.munpia.com/475633,475633,4,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","6,971",6971,-1,-1,36.10%,36.1
5,https://novel.munpia.com/476663,476663,5,시하,백수가 너무 유능하다.,"현대판타지, 드라마","6,767",6767,0,0,58.20%,58.2
6,https://novel.munpia.com/480265,480265,6,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","6,403",6403,0,0,43.32%,43.32
7,https://novel.munpia.com/484223,484223,7,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","6,206",6206,0,0,-,
8,https://novel.munpia.com/476823,476823,8,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","5,476",5476,0,0,58.02%,58.02
9,https://novel.munpia.com/475566,475566,9,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","5,258",5258,1,1,65.00%,65.0
10,https://novel.munpia.com/475591,475591,10,맘모스XM,타락면역이라 재앙급 마검 들고 시작한다,"현대판타지, 판타지","5,234",5234,-1,-1,31.14%,31.14
11,https://novel.munpia.com/475706,475706,11,KarpeDiem,좌천당했는데 돈이 몰려온다,"현대판타지, 판타지","4,753",4753,0,0,44.74%,44.74
12,https://novel.munpia.com/483667,483667,12,상한김밥,심해의 마법사,판타지,"4,441",4441,1,1,67.60%,67.6
13,https://novel.munpia.com/475625,475625,13,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","4,237",4237,1,1,59.60%,59.6
14,https://novel.munpia.com/475882,475882,14,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,712",3712,1,1,56.02%,56.02
15,https://novel.munpia.com/477413,477413,15,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","3,383",3383,2,2,33.06%,33.06
16,https://novel.munpia.com/475635,475635,16,피노키홍,취미로 발롱도르,"스포츠, 현대판타지","3,361",3361,0,0,47.35%,47.35
17,https://novel.munpia.com/477282,477282,17,글쥐어짜기,내 뚝배기에 날아든 AI,"현대판타지, 판타지","3,095",3095,1,1,74.48%,74.48
18,https://novel.munpia.com/476032,476032,18,체대생,하루만에 유산 얻고 명예까지 얻음,"현대판타지, 드라마","2,525",2525,1,1,133.10%,
19,https://novel.munpia.com/475641,475641,19,오토마톤G,돈 버는 재능이 넘쳐나는 영주님,"판타지, 현대판타지","2,448",2448,2,2,64.29%,64.29
20,https://novel.munpia.com/477718,477718,20,평면경,로우 판타지의 1서클 마법사,"판타지, 퓨전","2,444",2444,0,0,61.11%,61.11
21,https://novel.munpia.com/476049,476049,21,토이카,멸망 커뮤니티의 신급 뉴비,"현대판타지, 퓨전","2,401",2401,1,1,51.63%,51.63
22,https://novel.munpia.com/477059,477059,22,노마(駑馬),신들의 단톡방에 김치사발면을 바쳤다,"현대판타지, 판타지","2,280",2280,1,1,44.36%,44.36
23,https://novel.munpia.com/475776,475776,23,밤카다,101번째 드래프티는 야구가 너무 쉬움,"스포츠, 현대판타지","2,176",2176,2,2,49.01%,49.01
24,https://novel.munpia.com/477481,477481,24,독파민,초인에겐 야구가 너무 쉽다!,"스포츠, 판타지","2,170",2170,0,0,66.51%,66.51
25,https://novel.munpia.com/477241,477241,25,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,086",2086,2,2,36.48%,36.48
26,https://novel.munpia.com/478439,478439,26,땅콩헌터,"수의사, 마물들의 명의가 됨","현대판타지, 퓨전","2,041",2041,0,0,59.30%,59.3
27,https://novel.munpia.com/482000,482000,27,앤서,엄청나게 돈이 벌림,"현대판타지, 퓨전","1,945",1945,1,1,75.52%,75.52
28,https://novel.munpia.com/475906,475906,28,아라만,집구석 로켓배송,"현대판타지, 판타지","1,923",1923,23,23,55.03%,55.03
29,https://novel.munpia.com/475724,475724,29,긍정적마음,토토충이 돈 복사 버그를 씀,"현대판타지, 스포츠","1,923",1923,2,2,48.51%,48.51
30,https://novel.munpia.com/480433,480433,30,자몽라임,회귀한 마취과 의사는 모든 게 쉽다,"현대판타지, 드라마","1,905",1905,-1,-1,73.47%,73.47
31,https://novel.munpia.com/475958,475958,31,노랑™,전역 후 아공간에 돈이 계속 쌓임,"현대판타지, 퓨전","1,856",1856,-1,-1,21.31%,21.31
32,https://novel.munpia.com/478275,478275,32,콜벳,선협 속 거미가 천재임,"무협, 퓨전","1,837",1837,0,0,72.55%,72.55
33,https://novel.munpia.com/482006,482006,33,도얀,폐급 힐러가 인간 빼고 다 고침,"현대판타지, 판타지","1,836",1836,-21,-21,70.09%,70.09
34,https://novel.munpia.com/476343,476343,34,이디즈,9급부터 북부대공까지,"판타지, 퓨전","1,744",1744,1,1,55.26%,55.26
35,https://novel.munpia.com/475738,475738,35,북콜랙터,남 주느니 쿠데타 합니다,"현대판타지, 대체역사","1,682",1682,-2,-2,67.21%,67.21
36,https://novel.munpia.com/475523,475523,36,낙비(樂悲),엘프 제국의 세계수가 되었다,"판타지, 퓨전","1,676",1676,-2,-2,35.76%,35.76
37,https://novel.munpia.com/476039,476039,37,아이스바인™,이혼 후 조만장자,현대판타지,"1,648",1648,-1,-1,57.59%,57.59
38,https://novel.munpia.com/475664,475664,38,정육면체,아공간수선전(亞空間修仙傳),"무협, 퓨전","1,577",1577,-1,-1,65.18%,65.18
39,https://novel.munpia.com/475703,475703,39,쩡킴,부업했더니 돈이 미친듯이 벌림,"현대판타지, 판타지","1,562",1562,2,2,38.16%,38.16
40,https://novel.munpia.com/476794,476794,40,김형준™,아포칼립스 회귀자의 만능셸터,"현대판타지, 퓨전","1,524",1524,-1,-1,49.19%,49.19
41,https://novel.munpia.com/476924,476924,41,글철인,S급 특성 포식으로 검도수선전,"무협, 퓨전","1,456",1456,-3,-3,50.28%,50.28
42,https://novel.munpia.com/476319,476319,42,로드케이,선협에서 하남자로 살아남기,"현대판타지, 무협","1,410",1410,0,0,55.53%,55.53
43,https://novel.munpia.com/476981,476981,43,E787,공작가 장남은 전직 S급 헌터,"판타지, 퓨전","1,355",1355,4,4,40.75%,40.75
44,https://novel.munpia.com/477023,477023,44,그링스,C급 타자 몸값이 미친듯이 오름,"스포츠, 현대판타지","1,282",1282,0,0,45.47%,45.47
45,https://novel.munpia.com/475617,475617,45,쿠우울,기사의 납골당,판타지,"1,252",1252,0,0,31.31%,31.31
46,https://novel.munpia.com/476539,476539,46,물고기달려,선협의 천재 부사가 되었다,"무협, 판타지","1,191",1191,2,2,57.38%,57.38
47,https://novel.munpia.com/483716,483716,47,발칸레이븐,미친 재능으로 1000000000000000원 번다,"현대판타지, 퓨전","1,152",1152,-1,-1,74.54%,74.54
48,https://novel.munpia.com/481682,481682,48,천성(天性),"어느 날, 코인 차트가 눈에 떠오르기 시작했다","현대판타지, 퓨전","1,120",1120,5,5,83.78%,83.78
49,https://novel.munpia.com/482445,482445,49,한준솔봄,폐급 낙하산이 유일급이었음,현대판타지,"1,082",1082,1,1,66.98%,66.98
50,https://novel.munpia.com/476235,476235,50,담하파,내가 사면 무조건 오름,"현대판타지, 퓨전","1,056",1056,-1,-1,39.84%,39.84
51,https://novel.munpia.com/478990,478990,51,글코틴,이혼 후 돈이 굴러들어옴,"현대판타지, 판타지","1,023",1023,20,20,59.05%,59.05
52,https://novel.munpia.com/476831,476831,52,뿌링틀,비행기 잘못 타면 숙청당함.,"대체역사, 전쟁·밀리터리","1,020",1020,0,0,58.35%,58.35
53,https://novel.munpia.com/482756,482756,53,안경쓴팬더,환생 수선전,"무협, 퓨전","1,011",1011,3,3,83.23%,83.23
54,https://novel.munpia.com/475528,475528,54,디파일러,퇴사 후 사기급 특성들을 각성했다,"현대판타지, 퓨전","1,007",1007,0,0,32.68%,32.68
55,https://novel.munpia.com/483391,483391,55,홀본,고인물 스트라이커가 겸손을 숨김.,"스포츠, 현대판타지",942,942,0,0,85.07%,85.07
56,https://novel.munpia.com/477135,477135,56,방구석와룡,마도서를 줍다 마법사가 되다,"현대판타지, 판타지",904,904,1,1,-,
57,https://novel.munpia.com/484867,484867,57,태양물고기,"축기 가문, 내가 살림","무협, 퓨전",892,892,1,1,76.78%,76.78
58,https://novel.munpia.com/478868,478868,58,havoc,나홀로 진짜 마법사,판타지,853,853,1,1,67.53%,67.53
59,https://novel.munpia.com/483446,483446,59,프링글,백작가 막내아들이 마법공학을 잘함,"판타지, 퓨전",846,846,1,1,72.18%,72.18
60,https://novel.munpia.com/475667,475667,60,서관도,게임 속 무명용사가 되었다,"판타지, 퓨전",811,811,1,1,49.83%,49.83
61,https://novel.munpia.com/476256,476256,61,다큐인생,초지능체로 돌아왔다,"현대판타지, 드라마",739,739,2,2,42.85%,42.85
62,https://novel.munpia.com/481817,481817,62,동쭉,선협세계의 환생자로 살아남기,"무협, 판타지",730,730,0,0,64.68%,64.68
63,https://novel.munpia.com/476099,476099,63,글쓰는문어,그 깡촌엔 명의가 산다,"현대판타지, 판타지",720,720,2,2,49.60%,49.6
64,https://novel.munpia.com/483129,483129,64,대박난작가,마나가 무한이면 모든 게 쉬워진다,현대판타지,701,701,0,0,51.63%,51.63
65,https://novel.munpia.com/477152,477152,65,청학윤,삼전도의 헤드샷 조선왕자,"대체역사, 전쟁·밀리터리",663,663,2,2,65.34%,65.34
66,https://novel.munpia.com/480522,480522,66,행운요정,톱 파일럿과 하룻밤을 보냈더니 돈을 너무 잘 벎,"SF, 스포츠",650,650,3,3,71.13%,71.13
67,https://novel.munpia.com/482086,482086,67,류진호,삼국지: 조조의 마누라를 뺏어버렸다,"대체역사, 드라마",631,631,1,1,59.39%,59.39
68,https://novel.munpia.com/476367,476367,68,귤잠꾼,농사하다 갤러리를 주웠다,"현대판타지, 판타지",593,593,5,5,44.30%,44.3
69,https://novel.munpia.com/477706,477706,69,매드캣,보급형 프로이센의 왕이 되었다,"대체역사, 전쟁·밀리터리",583,583,1,1,61.84%,61.84
70,https://novel.munpia.com/484497,484497,70,아바타.,이번 생은 아무것도 안 할 건데 돈이 너무 많음,현대판타지,576,576,2,2,77.46%,77.46
71,https://novel.munpia.com/485558,485558,71,로노바,이혼 후 재벌가 출신 전처가 매달린다,"현대판타지, 드라마",553,553,3,3,66.39%,66.39
72,https://novel.munpia.com/475822,475822,72,곽탁타,뗀석기로 우주방어,"대체역사, SF",515,515,7,7,59.59%,59.59
73,https://novel.munpia.com/481784,481784,73,린더,방구석 메카닉은 종말이 쉽다,"현대판타지, 게임",494,494,5,5,66.43%,66.43
74,https://novel.munpia.com/476151,476151,74,발타자,국가대표 사격천재의 게임방송,"현대판타지, 스포츠",490,490,6,6,41.10%,41.1
75,https://novel.munpia.com/477026,477026,75,장스,5살부터 시작하는 게임 개발,"현대판타지, 게임",490,490,1,1,60.14%,60.14
76,https://novel.munpia.com/481054,481054,76,햄버그,기연수선전,"무협, 판타지",482,482,1,1,77.42%,77.42
77,https://novel.munpia.com/479491,479491,77,반고르,돌아온 북부 대공은 전쟁의 신(神),"판타지, 전쟁·밀리터리",446,446,4,4,49.37%,49.37
78,https://novel.munpia.com/485080,485080,78,치킨동무,상남자가 영조를 키우는 법,"대체역사, 퓨전",414,414,4,4,-,
79,https://novel.munpia.com/482497,482497,79,늬파랑,방구석에서 돈을 너무 쉽게 번다,"현대판타지, 퓨전",411,411,4,4,50.80%,50.8
80,https://novel.munpia.com/483802,483802,80,서리현,내향인인데 EX급이라 주목받아버림,"현대판타지, 퓨전",379,379,4,4,86.75%,86.75
81,https://novel.munpia.com/477945,477945,81,동동아리,동창의 서고지기,"무협, 드라마",375,375,5,5,34.18%,34.18
82,https://novel.munpia.com/476202,476202,82,이그드라시,대영제국이 양심을 장착함,"대체역사, 판타지",371,371,5,5,52.55%,52.55
83,https://novel.munpia.com/484122,484122,83,13월생,물려받은 유산덕에 통장 잔고가 계속 쌓임,"현대판타지, 퓨전",370,370,6,6,62.87%,62.87
84,https://novel.munpia.com/485772,485772,84,잭꿀,내 힐 사정거리 무한,"현대판타지, 퓨전",368,368,6,6,-,
85,https://novel.munpia.com/479245,479245,85,인더정글,악마의 재능으로 역대급 리드오프,"스포츠, 현대판타지",356,356,3,3,44.69%,44.69
86,https://novel.munpia.com/482758,482758,86,테드K,1000조를 굴리는 인턴,"현대판타지, 대체역사",354,354,6,6,-,
87,https://novel.munpia.com/482340,482340,87,로빈(爐彬),서울에 핵 쏜 새끼 찾습니다,"현대판타지, 대체역사",350,350,6,6,-,
88,https://novel.munpia.com/482287,482287,88,따상,정이 많은 농부로 착각당했다,"현대판타지, 퓨전",339,339,6,6,-,
89,https://novel.munpia.com/477614,477614,89,겸업백작,천재 과학자가 공룡으로 돈복사함,현대판타지,328,328,-46,-46,75.49%,75.49
90,https://novel.munpia.com/482750,482750,90,달꿀,돈 쓸어담는 2회차 방산천재의 K-인더스트리,현대판타지,326,326,6,6,67.41%,67.41
91,https://novel.munpia.com/485683,485683,91,류송,돈 버는 능력이 자꾸 생긴다,"현대판타지, 퓨전",317,317,4,4,-,
92,https://novel.munpia.com/485087,485087,92,꿈가득남,나는 돈을 벌고 행복을 산다,"현대판타지, 판타지",313,313,6,6,60.20%,60.2
93,https://novel.munpia.com/475946,475946,93,파라모르템,800억 있어도 출근하는 강 대리,현대판타지,312,312,4,4,19.72%,19.72
94,https://novel.munpia.com/483122,483122,94,시윤™,퇴사 후 슬라임을 키웠더니 인생 역전,"현대판타지, 퓨전",301,301,6,6,43.57%,43.57
95,https://novel.munpia.com/484076,484076,95,글럼프,엔터 옮기고 대박 터짐,"현대판타지, 퓨전",298,298,6,6,67.85%,67.85
96,https://novel.munpia.com/475952,475952,96,닥터베르,웹소 작가 이세계 다이어리,"퓨전, 판타지",287,287,9,9,28.80%,28.8
97,https://novel.munpia.com/477156,477156,97,Readoff,방출 당하고 천재 투수가 되었다,"스포츠, 현대판타지",286,286,-57,-57,21.31%,21.31
98,https://novel.munpia.com/476344,476344,98,다물랑,역적이 꿈꾸는 제국,"대체역사, 퓨전",285,285,6,6,53.51%,53.51
